Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
6,5,2.5,1,West,2068.0,0-3-3-2 Sq. Feet,13 Feet / Blacktopped,N/A Sq. Feet,3 months ago,"NPR. 4,00,00,000 Total Price",Kathmandu,Chhauni
0,4,3.0,2,South,2080.0,3 Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,80,00,000",Lalitpur,Imadol
5,5,2.5,1,South East,,0-3-0-0 Aana,12 Feet / Concrete,N/A Sq. Feet,4 days ago,"NPR. 2,75,00,000",Lalitpur,Imadol
5,4,,1,South,,3 Aana,16 Feet,N/A Aana,1 month ago,"NPR. 2,98,00,000 Onwards",Lalitpur,Imadol
3,4,2.5,1,North East,,0-4-0-0 Aana,18 Feet / Soil Stabilized,2057 Sq. Feet,9 months ago,"NPR. 3,40,00,000 Total Price",Lalitpur,Imadol
6,4,2.0,2,South,2080.0,4 anna 1 paisa Aana,13 Feet / Paved,N/A Aana,2 months ago,"NPR. 4,25,00,000 Onwards",Lalitpur,Imadol
5,6,3.0,1,South,2080.0,0-5-1-0 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 5,50,00,000 Onwards",Lalitpur,Imadol
0,0,,0,West,,0-3-0-0 Aana,6 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,20,00,000",Bhaktapur,Duwakot
5,3,,0,West,2079.0,0.3.1.2 Aana,13 Feet / Gravelled,N/A Aana,6 months ago,"NPR. 2,90,00,000 Onwards",Kathmandu,Kalanki
4,3,,1,South East,2080.0,0-3-0-0 Aana,13 Feet,2100 Sq. Feet,4 weeks ago,"NPR. 2,25,00,000 Onwards",Lalitpur,Sano Gaun
5,4,,1,East,,0-4.5 -0-0 Aana,23 Feet,3000 Sq. Feet,2 months ago,"NPR. 3,30,00,000 Onwards",Lalitpur,Hattiban
4,3,3.0,1,East,2022.0,4 Aana,13 Feet / Blacktopped,1200+ Aana,1 week ago,"NPR. 3,50,00,000 Onwards",Lalitpur,Sunakothi
0,4,2.0,1,South,2080.0,4 aana Aana,13 Feet,o Aana,2 months ago,"NPR. 4,25,00,000 Onwards",Lalitpur,Hattiban
6,7,3.0,3,East,2077.0,0-9-0-0 Aana,16 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 15,00,00,000",Lalitpur,Dhobighat
0,4,3.0,1,West,2024.0,0-3-1-1 Aana,13 Feet / Gravelled,N/A Aana,2 weeks ago,"NPR. 3,25,00,000",Lalitpur,Imadol
4,2,,1,East,2073.0,3 Aana,13 Feet / Gravelled,N/A Aana,4 years ago,"NPR. 1,55,00,000",Bhaktapur,Balkot
6,6,3.5,1,North,2080.0,0-3-1-0 Aana,13 Feet / Concrete,N/A Sq. Feet,2 months ago,"NPR. 2,90,00,000",Lalitpur,Imadol
6,3,3.0,2,South,2075.0,0=4=1=0 Aana,20 Feet / Blacktopped,2100 Sq. Feet,4 months ago,"NPR. 3,40,00,000 Onwards",Kathmandu,Kageshwari-Manohara
4,3,3.0,1,North West,,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 5,85,00,000 Total Price",Lalitpur,Bhaisepati
0,0,,0,East,,0-4-0-0 Aana,15 Feet,N/A Sq. Feet,2 years ago,"NPR. 4,00,00,000",Bhaktapur,Gatthaghar
5,4,,1,West,,0-3-0-0 Aana,16 Feet,2670 Sq. Feet,2 months ago,"NPR. 3,85,00,000 Onwards",Lalitpur,Jwagal
4,4,2.5,1,South,2080.0,0-3-0-0 Aana,13 Feet / Concrete,N/A Sq. Feet,4 days ago,"NPR. 2,52,00,000 Total price",Lalitpur,Tikathali
4,4,3.0,1,North,2078.0,0-3-2-0 Aana,13 Feet / Gravelled,2300 Sq. Feet,2 years ago,"NPR. 3,15,00,000 Total price",Lalitpur,Imadol
4,4,2.0,3,West,,0-3-1-1 Aana,13 Feet / Gravelled,1133.880 Sq. Feet,2 weeks ago,"NPR. 2,45,00,000 Onwards",Lalitpur,Imadol
0,0,5.0,0,South,2075.0,0-6-2-0 Aana,20 Feet / Blacktopped,7500 Sq. Feet,4 years ago,"NPR. 7,50,00,000",Bhaktapur,Gatthaghar
5,5,3.0,3,East,2012.0,0-9-0-0 Aana,13 Feet,N/A Aana,5 years ago,"NPR. 6,00,00,000 Total Price",Lalitpur,Khumaltar
10,10,4.0,2,East,2078.0,0-8.52-0-0 Aana,13 Feet / Blacktopped,0-4-0-0 Aana,5 months ago,"NPR. 12,00,00,000",Kathmandu,Dallu
6,4,,2,North East,,0-5-1-0 Aana,12 Feet,2950 Sq. Feet,6 months ago,"NPR. 6,80,00,000 Onwards",Kathmandu,Sinamangal
4,4,2.0,2,South,,0-2-3-0 Aana,13 Feet / Paved,941.312 Sq. Feet,3 days ago,"NPR. 2,35,00,000 Onwards",Lalitpur,Imadol
7,7,,1,North,2079.0,0-3-0-0 Aana,13 Feet,2790 Sq. Feet,1 week ago,"NPR. 4,50,00,000 Onwards",Lalitpur,Imadol
0,0,,0,West,,0-5-0-0 Aana,13 Feet,N/A Sq. Feet,2 years ago,"NPR. 2,40,00,000",Bhaktapur,Duwakot
0,0,,0,East,,0-4-0-0 Aana,13 Feet,N/A Sq. Feet,2 years ago,"NPR. 2,15,00,000",Bhaktapur,Balkot
5,4,3.0,2,North,,0-4-0-0 Aana,13 Feet / Paved,N/A Aana,2 weeks ago,"NPR. 3,50,00,000",Lalitpur,Tikathali
0,0,4.0,0,South West,,0-5-2-1 Aana,20 Feet / Blacktopped,N/A Aana,4 months ago,"NPR. 6,00,00,000 Total Price",Kathmandu,Kalanki
5,3,,1,North East,2069.0,4 Aana,12 Feet / Paved,N/A Aana,6 months ago,"NPR. 2,75,00,000 Onwards",Kathmandu,Chhauni
6,4,3.0,1,South,2070.0,4 Aana,20 Feet / Gravelled,3000 Sq. Feet,3 years ago,"NPR. 3,25,00,000",Bhaktapur,Kausaltar
4,4,3.0,2,East,2080.0,3 Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,75,00,000",Lalitpur,Imadol
2,1,1.0,2,North East,2080.0,3 aana 2 paisa Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 1,80,00,000 Onwards",Lalitpur,Tikathali
5,3,,0,North East,2080.0,3 Aana,12 Feet / Paved,N/A Aana,6 months ago,"NPR. 3,25,00,000 Onwards",Kathmandu,Thulo Bharyang
6,5,3.0,1,South,,3-2 Aana,13 Feet,N/A Aana,1 week ago,"NPR. 3,55,00,000 Onwards",Lalitpur,Imadol
0,0,,0,West,,0-4-0-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 2,25,00,000",Bhaktapur,Suryabinayak
4,4,,1,South,,3 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,65,00,000 Onwards",Lalitpur,Imadol
4,4,2.0,2,West,2080.0,4 Aana,20 Feet / Paved,00 Aana,3 months ago,"NPR. 3,50,00,000 Onwards",Lalitpur,Bhaisepati
0,2,2.5,1,North West,2079.0,3 Aana,13 Feet / Paved,N/A Sq. Feet,3 months ago,"NPR. 3,40,00,000 Total Price",Kathmandu,Thulo Bharyang
5,3,2.5,1,South,2080.0,0-5-1-1.20 Aana,20 Feet / Blacktopped,"2,148.49 Aana",2 months ago,"NPR. 4,27,00,000",Lalitpur,Sunakothi
0,0,,0,West,,0-4-0-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,70,00,000",Bhaktapur,Bhaktapur
3,2,2.5,2,South,2070.0,0-3-0-0 Aana,20 Feet / Paved,N/A Aana,3 years ago,"NPR. 1,90,00,000",Lalitpur,Thaiba
0,0,,0,East,,0-3-0-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,20,00,000",Bhaktapur,Bhaktapur
6,3,3.0,1,East,2068.0,0-5-2-0 Aana,12 Feet / Blacktopped,2764.5 Aana,3 years ago,"NPR. 3,10,00,000 Onwards",Lalitpur,Imadol
6,5,2.0,2,East,,0-4-0-2 Aana,15 Feet / Gravelled,1412.022 Sq. Feet,1 day ago,"NPR. 3,65,00,000 Onwards",Kathmandu,Budhanilkantha
5,5,,1,South East,2080.0,3.5 Aana,16 Feet,3000 Sq. Feet,1 month ago,"NPR. 4,50,00,000 Onwards",Lalitpur,Sano Gaun
0,0,3.0,2,South West,2080.0,5 aana 1 paisa Aana,16 Feet / Paved,0 Aana,1 month ago,"NPR. 5,50,00,000",Lalitpur,Imadol
3,2,,1,South,2075.0,0-4-1-0 Aana,15 Feet,890 Aana,5 years ago,"NPR. 2,90,00,000",Lalitpur,Bhaisepati
4,3,2.5,1,North East,,0-4-2-3 Aana,20 Feet / Blacktopped,2200 Aana,5 months ago,"NPR. 5,10,00,000 Total Price",Kathmandu,Budhanilkantha
3,3,3.0,1,West,,0-3-1-1 Aana,20 Feet,N/A Aana,11 months ago,"NPR. 2,00,00,000 Onwards",Bhaktapur,Madhyapur Thimi
0,0,,0,East,,0-3-0-0 Aana,0 Feet,N/A Aana,2 years ago,"NPR. 1,15,00,000",Bhaktapur,Duwakot
0,0,,0,West,,0-8-0-0 Aana,13 Feet,N/A Sq. Feet,3 years ago,"NPR. 2,85,00,000",Bhaktapur,Sirutar
6,7,2.0,5,West,,0-4-2-0 Aana,13 Feet / Blacktopped,1540.328 Sq. Feet,2 weeks ago,"NPR. 4,15,00,000 Onwards",Lalitpur,Khumaltar
4,3,3.0,1,South East,2022.0,0-3-0-0 Aana,20 Feet / Blacktopped,1600 Sq. Feet,2 years ago,"NPR. 2,00,00,000",Bhaktapur,Bhaktapur
4,3,3.0,1,South,2080.0,0-3-1-0 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,65,00,000",Lalitpur,Mahalaxmisthan
5,5,2.0,3,East,,0-3-1-2 Aana,13 Feet / Gravelled,1155.300 Sq. Feet,2 weeks ago,"NPR. 3,55,55,555 Onwards",Lalitpur,Imadol
6,6,3.0,1,North,2080.0,0-3-3-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 2,90,00,000",Lalitpur,Imadol
5,4,3.0,1,East,,0-10-0-1.84 Aana,12 Feet / Concrete,N/A Aana,10 months ago,"NPR. 2,80,00,000 onwards",Bhaktapur,Lokanthali
13,6,4.5,1,North,2067.0,0-4-0-0 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"NPR. 3,50,00,000 Total price",Lalitpur,Imadol
0,0,,0,West,2064.0,0-2-2-0 Aana,9 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,50,00,000",Bhaktapur,Sallaghari
5,3,3.0,1,South,,4 Aana,13 Feet,N/A Aana,9 months ago,"NPR. 2,75,00,000 Onwards",Bhaktapur,Suryabinayak
9,5,3.0,3,East,2060.0,0-10-0-0 Aana,13 Feet / Blacktopped,0-6-0-0 Aana,3 years ago,"NPR. 6,25,00,000 Total price",Lalitpur,Manbhawan
5,3,2.5,1,South,2080.0,0-4-3-1.40 Aana,20 Feet / Blacktopped,"2,148.49 Aana",2 months ago,"NPR. 4,03,00,000",Lalitpur,Sunakothi
0,0,,0,North,,6 Aana,20 Feet / Paved,2.3 Aana,3 years ago,"NPR. 2,00,00,000",Bhaktapur,Suryabinayak
5,6,3.0,4,South East,,0-4-0-0 Aana,13 Feet / Paved,1369.181 Sq. Feet,1 week ago,"NPR. 3,95,00,000 Onwards",Lalitpur,Imadol
8,5,4.0,2,South,2078.0,0-4-0-0 Aana,13 Feet / Gravelled,2600 Aana,2 years ago,"NPR. 3,35,00,000 Total price",Lalitpur,Imadol
2,2,2.0,1,West,,0-5-1-0 Aana,4 Feet,0-3-0-0 Aana,1 year ago,"NPR. 1,50,00,000 Onwards",Bhaktapur,Dadikot
5,5,2.5,0,South West,2074.0,13 Aana,20 Feet / Blacktopped,N/A Sq. Feet,3 months ago,"NPR. 9,75,00,000 Total Price",Kathmandu,Sanobharyang
0,0,2.0,2,South West,,5 aana 2 paisa Aana,20 Feet,0 Aana,1 month ago,"NPR. 4,80,00,000 Onwards",Lalitpur,Imadol
5,4,2.0,4,South,,0-3-0-0 Aana,13 Feet / Gravelled,1026.886 Sq. Feet,1 week ago,"NPR. 2,15,00,000 Onwards",Bhaktapur,Bhaktapur
5,4,2.5,1,East,2074.0,0-3-2-0 Aana,13 Feet / Concrete,N/A Aana,3 months ago,"NPR. 3,30,00,000 Total Price",Kathmandu,Swayambhu
5,5,3.0,1,South,,0-3-1-0 Aana,13 Feet,N/A Aana,1 week ago,"NPR. 2,65,00,000 Onwards",Lalitpur,Imadol
14,4,3.0,0,East,,7.1 Aana,14 Feet,N/A Aana,5 years ago,"NPR. 3,50,00,000",Bhaktapur,Lokanthali
0,0,,0,East,,0-3-2-0 Aana,12 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,45,00,000",Bhaktapur,Sirutar
5,4,2.0,4,North,,0-4-0-0 Aana,13 Feet / Gravelled,1369.181 Sq. Feet,1 week ago,"NPR. 3,50,00,000 Onwards",Bhaktapur,Bhaktapur
0,13,5.0,12,South East,2073.0,0-11-0-0 Aana,23 Feet,11000 Sq. Feet,5 years ago,"NPR. 11,00,00,000",Kathmandu,Pepsicola
0,0,2.0,2,South East,2080.0,4 aana 1 paisa 1 dam Aana,16 Feet / Gravelled,0 Aana,1 month ago,"NPR. 4,25,00,000",Lalitpur,Dholahiti
4,3,2.5,1,South,2073.0,0-3-0-0 Aana,10 Feet / Concrete,1003 Aana,3 years ago,"NPR. 2,00,00,000 Total price",Lalitpur,Sovahity
2,3,2.0,2,East,,8 Aana,14 Feet,N/A Aana,6 months ago,"NPR. 4,35,00,000 Onwards",Kathmandu,Kalanki
9,5,2.0,11,East,2015.0,10-1-0-0 Aana,14 Feet / Paved,2000 Sq. Feet,3 years ago,"NPR. 23,00,00,001 Onwards",Lalitpur,Lamatar
0,0,1.0,0,East,,0-2-3-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,18,00,000",Bhaktapur,Sipadol
0,0,,0,East,,0-4-0-0 Aana,10 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,10,00,000",Bhaktapur,Bhaktapur
6,6,,1,North East,2080.0,0.4.1.0 Aana,13 Feet / Paved,N/A Aana,6 months ago,"NPR. 3,30,00,000 Onwards",Kathmandu,Sitapaila
0,0,,0,West,,0-3-1-2 Aana,12 Feet,N/A Sq. Feet,3 years ago,"NPR. 1,50,00,000",Bhaktapur,Duwakot
0,0,,0,East,,0-8-0-0 Aana,13 Feet,N/A Aana,3 years ago,"NPR. 2,85,00,000",Bhaktapur,Sirutar
0,0,3.0,2,South,2080.0,3 aana 1 paisa 2 dam Aana,20 Feet / Gravelled,0 Aana,1 month ago,"NPR. 3,55,00,000",Lalitpur,Imadol
5,4,2.5,1,West,2080.0,0-3-0-0 Aana,13 Feet / Concrete,N/A Sq. Feet,2 months ago,"NPR. 2,85,00,000",Lalitpur,Imadol
0,0,,0,West,,4 Aana,14 Feet,N/A Aana,6 months ago,"NPR. 3,50,00,000 Onwards",Kathmandu,Balambu
4,0,3.0,2,North East,2080.0,4 aana Aana,15 Feet / Gravelled,0 Aana,1 month ago,"NPR. 3,50,00,000",Lalitpur,Bhaisepati
0,0,,0,West,,0-3-0-0 Aana,20 Feet / Gravelled,N/A Aana,3 years ago,"NPR. 1,10,00,000",Bhaktapur,Suryabinayak
5,4,2.5,1,South,,0-4-0-1 Aana,10 Feet / Gravelled,N/A Aana,3 months ago,"NPR. 3,70,00,000 Total Price",Kathmandu,Sitapaila
5,3,2.5,1,South,2080.0,0-4-1-1.80 Aana,20 Feet / Blacktopped,"1,980.28 Aana",2 months ago,"NPR. 3,67,00,000",Lalitpur,Sunakothi
3,3,2.0,3,East,,0-3-0-0 Aana,18 Feet / Blacktopped,1026.886 Sq. Feet,1 week ago,"NPR. 3,95,00,000 Onwards",Lalitpur,Kupondole
0,0,,0,East,,0-4-0-0 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 26,00,000",Bhaktapur,Changunarayan
5,4,2.0,10,East,2065.0,29 Aana,16 Feet / Blacktopped,N/A Aana,3 months ago,"NPR. 17,50,00,000 Total Price",Kathmandu,Sitapaila
0,3,2.0,2,East,,3 aana 3 dam Aana,11 Feet,0 Aana,1 month ago,"NPR. 2,60,00,000 Onwards",Lalitpur,Tikathali
6,5,,1,South,2080.0,0-3-0-0 Aana,13 Feet,2780 Sq. Feet,2 months ago,"NPR. 2,80,00,000 Onwards",Lalitpur,Imadol
0,0,,0,West,,0-3-1-0 Aana,13 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,30,00,000",Bhaktapur,Suryabinayak
4,3,2.0,1,East,2080.0,2 aana 3 paisa 1 dam Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,30,00,000",Lalitpur,Tikathali
8,4,3.0,1,East,2072.0,1710 Sq. Feet,13 Feet / Paved,4300 Sq. Feet,1 year ago,"NPR. 3,98,00,000",Bhaktapur,Madhyapur Thimi
2,1,1.0,1,South,,0-3-2-0 Aana,13 Feet,0 Aana,2 months ago,"NPR. 1,60,00,000 Total Price",Lalitpur,Imadol
4,3,,1,East,2069.0,3.5 Aana,20 Feet,1800 Sq. Feet,1 month ago,"NPR. 3,20,00,000",Lalitpur,Bhaisepati
6,3,3.0,1,South,2080.0,3 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,60,00,000 Onwards",Lalitpur,Tikathali
7,3,3.0,1,East,2076.0,0-3-2-0 Aana,10 Feet / Gravelled,2100 Sq. Feet,4 years ago,"NPR. 2,25,00,000 Total price",Bhaktapur,Sipadol
0,0,,0,East,,0-4-2-0 Aana,0 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,00,00,000",Bhaktapur,Suryabinayak
4,3,,1,North East,2074.0,0-4-0-0 Aana,13 Feet,2200 Aana,2 months ago,"NPR. 3,65,00,000 Onwards",Lalitpur,Bhaisepati
10,5,4.0,6,North East,,24 Aana,18 Feet,4 Aana,3 months ago,"NPR. 14,50,00,000 Onwards",Kathmandu,Budhanilkantha
4,4,3.0,1,North,2078.0,0-3-0-0 Aana,13 Feet / Gravelled,2250 Aana,2 years ago,"NPR. 2,35,00,000 Total price",Lalitpur,Imadol
0,0,3.0,1,North East,2079.0,4 aana Aana,20 Feet / Paved,0 Aana,2 months ago,"NPR. 3,10,00,000",Lalitpur,Dhapakhel
6,4,,1,West,2080.0,2-3 Aana,13 Feet / Gravelled,N/A Aana,1 week ago,"NPR. 3,20,00,000 Onwards",Lalitpur,Imadol
5,4,3.0,1,South,2080.0,0-3-1-0 Aana,13 Feet / Concrete,N/A Aana,2 months ago,"NPR. 2,99,00,000",Lalitpur,Imadol
0,0,,0,East,,0-3-0-0 Sq. Feet,12 Feet,N/A Sq. Feet,2 years ago,"NPR. 1,15,00,000",Bhaktapur,Duwakot
6,5,2.0,3,South East,,0-4-1-0 Aana,18 Feet / Gravelled,1454.755 Sq. Feet,1 day ago,"NPR. 3,85,00,000 Onwards",Kathmandu,Budhanilkantha
4,4,,1,North,2080.0,0-4-0-2 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 months ago,"NPR. 3,75,00,000",Kathmandu,Sano Bharyang
4,3,2.0,2,South West,2080.0,2 aana 3 paisa Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,35,00,000",Lalitpur,Imadol
2,1,1.0,0,North East,2077.0,6 Aana,0 Feet / Soil Stabilized,333 Sq. Feet,2 years ago,"NPR. 52,00,000",Bhaktapur,Nagarkot
7,4,2.5,1,South,,0-3-1-0 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 months ago,"NPR. 2,70,00,000 Total Price",Lalitpur,Imadol
7,3,3.0,1,North West,2069.0,0-3-3-2 Aana,11 Feet / Blacktopped,N/A Aana,8 months ago,"NPR. 2,15,00,000 Total Price",Bhaktapur,Suryabinayak
6,6,3.5,1,North East,2080.0,0-3-2-0 Aana,13 Feet / Concrete,N/A Sq. Feet,4 days ago,"NPR. 2,95,00,000 Total price",Lalitpur,Imadol
0,4,2.0,2,East,2080.0,3 aana Aana,18 Feet / Gravelled,0 Aana,1 month ago,"NPR. 1,65,00,000",Lalitpur,Lubhu
5,9,2.0,4,East,,0-7-0-0 Aana,14 Feet,3500 Sq. Feet,3 years ago,"NPR. 7,00,00,000 onward",Bhaktapur,Balkot
5,4,3.0,1,North,2080.0,3 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 2,75,00,000 Onwards",Lalitpur,Imadol
5,3,3.0,4,North East,,0-17-0-0 Aana,20 Feet / Blacktopped,5819.018 Sq. Feet,2 weeks ago,"NPR. 14,00,00,000",Lalitpur,Bhaisepati
2,3,3.0,1,North East,2073.0,0-3-3-3 Aana,13 Feet / Gravelled,2300 Aana,2 years ago,"NPR. 2,70,00,000 Total Price",Lalitpur,Imadol
5,4,,1,East,2080.0,3 aana 1 paisa Aana,20 Feet,2650 Sq. Feet,1 month ago,"NPR. 3,95,00,000 Onwards",Lalitpur,Harisiddhi
0,0,,0,West,,0-6-0-0 Aana,18 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,10,00,000",Bhaktapur,Bhaktapur
0,3,3.0,2,South,2071.0,4 Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,20,00,000",Lalitpur,Imadol
0,4,3.0,2,North,2079.0,3 aana Aana,20 Feet / Gravelled,0 Aana,1 month ago,"NPR. 3,00,00,000 Onwards",Lalitpur,Imadol
0,0,3.0,1,West,2080.0,5 aana Aana,0 Feet,0 Aana,1 month ago,"NPR. 4,70,00,000",Lalitpur,Imadol
0,0,,0,West,,0-3-0-0 Aana,20 Feet / Gravelled,N/A Sq. Feet,3 years ago,"NPR. 1,40,00,000",Bhaktapur,Kharipati
4,4,2.0,3,North,,0-2-2-0 Aana,13 Feet / Paved,855.738 Sq. Feet,4 days ago,"NPR. 2,20,00,000",Lalitpur,Imadol
0,0,,0,West,,0-3-2-0 Aana,13 Feet,N/A Sq. Feet,3 years ago,"NPR. 1,75,00,000",Bhaktapur,Suryabinayak
0,0,2.0,1,West,2021.0,6 aanaa 3 paisa Aana,13 Feet / Gravelled,N/A Aana,2 months ago,"NPR. 4,50,00,000 Onwards",Lalitpur,Harisiddhi
6,3,3.0,3,North,2073.0,04 Aana,10 Feet / Gravelled,700 Sq. Feet,3 years ago,"NPR. 1,45,00,000",Bhaktapur,Duwakot
5,4,,1,North,2080.0,3 aana 1 paisa Aana,13 Feet,2150 Sq. Feet,1 month ago,"NPR. 3,20,00,000 Onwards",Lalitpur,Imadol
7,4,,2,South East,,0-5-2-0 Aana,13 Feet,3500 Sq. Feet,4 weeks ago,"NPR. 5,35,00,000",Lalitpur,Imadol
6,4,2.5,3,West,2076.0,0-4-0-0 Aana,20 Feet / Concrete,N/A Aana,4 years ago,"NPR. 2,15,00,000",Lalitpur,Tikathali
7,4,,20,South,2000.0,2--0-0-0 Aana,13 Feet / Blacktopped,2-0-0-0 Aana,2 weeks ago,"NPR. 5,50,000 Per Month",Lalitpur,Bakhundol
5,3,2.0,2,South East,2080.0,0-3-0-0 Aana,13 Feet / Blacktopped,000 Aana,3 months ago,"NPR. 2,15,00,000 Onwards",Bhaktapur,Bhaktapur
5,3,2.5,1,South,2080.0,0-4-1-1.60 Aana,20 Feet / Blacktopped,"1,949.35 Sq. Feet",2 months ago,"NPR. 3,64,00,000",Lalitpur,Sunakothi
6,4,3.5,2,South East,,0-5-0-0 Aana,16 Feet / Concrete,N/A Aana,1 month ago,"NPR. 4,90,00,000 Total Price",Lalitpur,Dhapakhel
5,4,3.5,0,North West,,14.5 Aana,11 Feet / Blacktopped,N/A Aana,1 year ago,"NPR. 6,95,00,000 Total Price",Lalitpur,Dhapakhel
4,4,,2,North,,12 Aana,0 Feet,N/A Aana,5 months ago,"NPR. 1,10,000 Per Month",Kathmandu,Chandol
