Bedroom,Bathroom,Floor,Parking,Property Face,Build Year(In B.S.),Area Covered(Sq.Feet),Posted Date(Moth Ago),Price(NRS.),District,Location,Road Distance(Feet),Type of Road
5,4,2.5,1,West,2077.0,1112.31,36,18000000,Lalitpur,Imadol,20,Gravelled
4,3,2.5,1,North West,2076.0,1369.0,48,17000000,Kathmandu,Kalanki,10,Blacktopped
5,0,3.0,0,West,,1369.0,48,29000000,Kathmandu,Kadaghari,12,Blacktopped
3,3,2.5,2,West,2074.0,1197.87,2,34650000,Kathmandu,Sitapaila,20,Blacktopped
4,4,2.0,1,West,2076.0,1262.04,48,19500000,Lalitpur,Baghdol,20,Gravelled
4,3,3.0,2,North West,2066.0,1026.75,24,22500000,Kathmandu,Jorpati,14,Blacktopped
3,3,2.0,1,West,2068.0,2887.73,5,41000000,Kathmandu,Chandragiri,16,Paved
5,3,2.5,1,West,2076.0,855.62,48,15000000,Lalitpur,Imadol,13,Gravelled
4,4,4.0,1,West,2078.0,1540.12,2,47500000,Kathmandu,Budhanilkantha,20,Blacktopped
10,3,3.0,2,West,2066.0,4107.0,12,75000000,Kathmandu,Bafal,13,Blacktopped
5,4,2.5,2,North East,2075.0,1026.75,36,25000000,Kathmandu,Pepsicola,18,Gravelled
5,3,2.5,2,East,2076.0,1112.31,48,21500000,Lalitpur,Imadol,20,Blacktopped
4,4,3.0,1,South West,2068.0,1711.25,24,39000000,Kathmandu,Minbhawan,13,Blacktopped
5,4,3.5,1,South,,1155.09,1,39500000,Kathmandu,Gaushala,15,Blacktopped
6,4,2.5,3,East,2078.0,1711.25,1,46500000,Kathmandu,Budhanilkantha,13,Gravelled
5,6,2.5,2,East,2072.0,3379.71,36,80000000,Kathmandu,Chandol,20,Blacktopped
5,3,2.5,2,West,2071.0,1540.12,36,23500000,Kathmandu,Raniban,10,Blacktopped
5,2,2.5,1,West,2076.0,1197.87,48,18500000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,East,2077.0,1026.75,36,22000000,Lalitpur,Imadol,13,Gravelled
7,5,2.5,2,North,2074.0,1411.78,2,41250000,Kathmandu,Sitapaila,20,Blacktopped
6,5,2.5,1,West,2080.0,1112.31,1,31500000,Kathmandu,Mandikatar,13,Concrete
7,2,2.5,1,South East,2077.0,1026.75,8,24000000,Kathmandu,Kapan,13,Blacktopped
6,4,3.0,3,North West,2078.0,1197.87,24,36000000,Kathmandu,Tarkeshwor,13,Paved
5,3,2.5,1,North West,2076.0,1369.0,48,22000000,Lalitpur,Imadol,10,Gravelled
4,3,3.0,1,East,2078.0,1026.75,24,21500000,Lalitpur,Imadol,13,Soil Stabilized
12,4,4.0,3,East,2062.0,2738.0,24,80000000,Kathmandu,Minbhawan,18,Concrete
10,7,4.0,2,North,2067.0,1882.37,12,55000000,Kathmandu,Dhumbarahi,13,Concrete
2,2,1.5,1,South East,2075.0,1112.31,36,10500000,Kathmandu,Gokarneshwor,12,Gravelled
6,5,3.0,20,North East,,20535.0,8,280000000,Kathmandu,Sanobharyang,20,Blacktopped
2,1,1.5,1,North East,2076.0,1411.78,48,15000000,Lalitpur,Tikathali,16,Blacktopped
4,4,2.5,2,East,2074.0,1369.0,2,38500000,Kathmandu,Sitapaila,20,Blacktopped
4,1,1.5,0,North East,,1796.81,48,12000000,Lalitpur,Imadol,4,Concrete
7,6,2.0,3,West,,1369.0,1,44500000,Lalitpur,Tikathali,23,Paved
4,4,3.0,1,East,2078.0,1326.21,2,42000000,Kathmandu,Budhanilkantha,20,Blacktopped
5,5,2.5,1,North,,3080.25,5,80000000,Kathmandu,Sanobharyang,20,Blacktopped
6,5,3.0,3,South,2068.0,2738.0,12,72500000,Kathmandu,Balkhu,20,Blacktopped
7,0,2.0,0,North,,855.62,48,13200000,Kathmandu,Kadaghari,13,Gravelled
5,3,2.5,2,South,,1197.87,48,17000000,Lalitpur,Lubhu,20,Blacktopped
8,3,2.5,1,South,2076.0,1026.75,48,17000000,Lalitpur,Imadol,13,Gravelled
5,4,2.5,1,North East,2077.0,1026.75,36,18500000,Lalitpur,Imadol,12,Gravelled
2,1,1.5,1,West,2076.0,1155.09,48,12500000,Lalitpur,Imadol,13,Gravelled
7,5,2.5,2,South East,2069.0,5476.0,1,80000000,Kathmandu,Manamaiju,13,Concrete
7,5,4.0,2,West,2078.0,1711.25,12,49500000,Kathmandu,Budhanilkantha,13,Blacktopped
4,5,3.0,1,North,2076.0,1026.75,48,18000000,Lalitpur,Nakkhu,13,Soil Stabilized
4,4,2.0,2,East,2080.0,1540.12,1,35000000,Kathmandu,Budhanilkantha,13,Gravelled
5,4,3.0,4,East,,1647.0700000000002,36,26000000,Kathmandu,Sukedhara,0,
6,4,2.0,2,South,2080.0,1454.56,2,42500000,Lalitpur,Imadol,13,Paved
6,3,3.0,2,South,2075.0,1454.56,4,34000000,Kathmandu,Kageshwari-Manohara,20,Blacktopped
2,1,1.0,2,North East,2080.0,1197.87,1,18000000,Lalitpur,Tikathali,13,Gravelled
6,5,3.0,1,South,,1197.87,1,35500000,Lalitpur,Imadol,13,
4,3,2.0,1,East,2080.0,962.57,1,23000000,Lalitpur,Tikathali,13,Gravelled
4,3,2.0,2,South West,2080.0,941.18,1,23500000,Lalitpur,Imadol,13,Gravelled
5,4,2.0,1,South,,1112.31,1,29500000,Lalitpur,Imadol,0,Paved
4,4,3.0,1,North,2080.0,1240.65,1,28500000,Lalitpur,Harisiddhi,20,Gravelled
6,4,3.0,1,South,,1540.12,1,29000000,Lalitpur,Imadol,0,Paved
3,3,2.0,1,South,2079.0,16684.68,1,17500000,Lalitpur,Lamatar,13,Paved
6,5,2.0,2,East,2080.0,1411.78,3,35000000,Kathmandu,Budhanilkantha,13,Paved
4,4,2.0,1,East,2080.0,983.96,1,23000000,Lalitpur,Imadol,13,Gravelled
2,1,1.0,2,North West,2077.0,1197.87,2,17000000,Lalitpur,Lubhu,20,
3,4,3.0,1,East,2072.0,1347.6,48,33000000,Kathmandu,Budhanilkantha,20,Blacktopped
5,0,3.0,0,North East,,1475.95,48,28500000,Kathmandu,Golfutar,12,Gravelled
2,1,1.0,1,West,2078.0,1540.12,2,19500000,Kathmandu,Tarkeshwor,26,Gravelled
4,3,3.0,1,East,2079.0,1369.0,1,35000000,Lalitpur,Sunakothi,13,Blacktopped
6,4,3.0,1,South,2070.0,1369.0,36,32500000,Bhaktapur,Kausaltar,20,Gravelled
4,4,3.0,2,East,2080.0,1026.75,1,27500000,Lalitpur,Imadol,13,Gravelled
4,4,2.0,2,West,2080.0,1369.0,3,35000000,Lalitpur,Bhaisepati,20,Paved
5,3,3.0,1,South,,1369.0,9,27500000,Bhaktapur,Suryabinayak,13,
5,5,2.5,0,South West,2074.0,4449.25,3,97500000,Kathmandu,Sanobharyang,20,Blacktopped
14,4,3.0,0,East,,24299.75,60,35000000,Bhaktapur,Lokanthali,14,
2,3,2.0,2,East,,2738.0,6,43500000,Kathmandu,Kalanki,14,
5,4,2.0,10,East,2065.0,9925.25,3,175000000,Kathmandu,Sitapaila,16,Blacktopped
6,3,3.0,1,South,2080.0,1026.75,1,26000000,Lalitpur,Tikathali,13,Paved
10,5,4.0,6,North East,,8214.0,3,145000000,Kathmandu,Budhanilkantha,18,
2,1,1.0,0,North East,2077.0,2053.5,24,5200000,Bhaktapur,Nagarkot,0,Soil Stabilized
5,4,3.0,1,North,2080.0,1026.75,1,27500000,Lalitpur,Imadol,13,Paved
6,3,3.0,3,North,2073.0,1369.0,36,14500000,Bhaktapur,Duwakot,10,Gravelled
5,4,3.5,0,North West,,49626.25,12,69500000,Lalitpur,Dhapakhel,11,Blacktopped
5,3,3.0,1,East,2080.0,1026.75,3,22500000,Kathmandu,Kapan,10,Gravelled
5,4,3.0,3,South,,1026.75,1,33500000,Lalitpur,Imadol,13,Paved
8,7,3.5,2,East,2075.0,24299.75,60,33000000,Lalitpur,Harisiddhi,10,
3,4,3.0,2,North,2069.0,1026.75,36,19000000,Bhaktapur,Balkot,10,Soil Stabilized
3,1,1.0,1,East,2076.0,1369.0,36,8000000,Bhaktapur,Bhaktapur,8,
3,4,3.0,1,South West,2073.0,1026.75,3,19900000,Kathmandu,Gokarneshwor,13,Blacktopped
5,3,3.0,1,East,2076.0,1369.0,5,30000000,Kathmandu,Gothatar,20,Blacktopped
5,3,2.0,2,South,2078.0,1026.75,3,25000000,Lalitpur,Imadol,13,Gravelled
3,1,2.0,2,West,2080.0,1026.75,6,12500000,Kathmandu,Chandragiri,14,Paved
5,7,3.0,2,East,2076.0,7529.5,36,140000000,Bhaktapur,Bode,20,Gravelled
5,5,2.5,2,North,,3080.25,12,52500000,Bhaktapur,Balkot,26,Paved
4,2,3.0,10,South East,,9925.25,6,175000000,Kathmandu,Sitapaila,16,
8,4,4.0,1,West,2075.0,1711.25,24,29900000,Kathmandu,Goldhunga,10,Gravelled
11,3,3.0,0,North,,1369.0,48,24000000,Kathmandu,Nepaltar,13,Blacktopped
10,6,3.0,4,East,,10952.0,48,24000000,Kathmandu,Pepsicola,13,
9,0,3.0,0,South East,,11978.75,48,19800000,Kathmandu,Basundhara,12,Gravelled
4,4,3.0,2,North East,2076.0,1711.25,48,30500000,Kathmandu,Budhanilkantha,15,Blacktopped
9,4,4.0,0,East,,21561.75,48,34500000,Kathmandu,Sukedhara,12,
9,4,3.0,3,South,,1026.75,48,22500000,Kathmandu,Samakhusi,13,Blacktopped
5,3,3.0,0,South,,1369.0,48,27500000,Kathmandu,Tokha,26,Gravelled
4,2,2.0,2,South,,10609.75,48,21000000,Kathmandu,Swayambhu,18,
5,3,3.0,1,East,,1369.0,48,22500000,Kathmandu,Naikap,13,
11,0,3.0,0,South,,2053.5,48,45000000,Kathmandu,Basundhara,14,
4,4,3.0,2,West,2071.0,10952.0,48,15000000,Kathmandu,Kapan,0,
6,4,3.5,3,South East,,10952.0,48,36000000,Kathmandu,Kadaghari,13,
5,2,3.0,0,West,,11978.75,48,22700000,Kathmandu,Thulo Bharyang,12,Gravelled
6,3,3.0,3,South,,1369.0,48,16500000,Kathmandu,Tarkeshwor,12,
12,0,4.0,4,East,,2395.75,48,40000000,Kathmandu,Dhumbarahi,13,
8,3,4.0,1,South West,,1369.0,48,31000000,Kathmandu,Chundevi,14,Gravelled
6,3,3.0,2,East,2076.0,1711.25,48,27800000,Kathmandu,Mandikatar,13,Gravelled
10,0,3.0,3,West,,2053.5,48,29800000,Kathmandu,Budhanilkantha,13,
10,6,5.0,4,West,,14374.5,48,30000000,Kathmandu,Gongabu,10,
5,3,3.0,0,East,,14716.75,48,26000000,Kathmandu,Basundhara,12,Blacktopped
10,0,3.0,0,East,,17454.75,48,31800000,Kathmandu,Sukedhara,14,Blacktopped
4,4,2.5,0,North West,,14374.5,48,25500000,Lalitpur,Nakkhu,14,Gravelled
4,4,3.0,4,North East,2066.0,6160.5,48,115000000,Kathmandu,Basbari,13,Paved
6,6,4.0,2,South,2075.0,2053.5,48,42500000,Kathmandu,Basundhara,15,Blacktopped
6,2,3.0,1,East,2064.0,3764.75,48,17500000,Kathmandu,Mulpani,20,Gravelled
6,3,3.0,3,West,,1369.0,48,27500000,Kathmandu,Samakhusi,13,Blacktopped
10,0,3.0,0,North,,1711.25,48,22000000,Kathmandu,Budhanilkantha,15,Blacktopped
2,1,1.0,2,West,2075.0,10952.0,48,12800000,Kathmandu,Budhanilkantha,12,Gravelled
3,1,1.0,0,North,,1026.75,48,11000000,Lalitpur,Imadol,14,Gravelled
12,4,4.0,0,South East,,1369.0,48,22500000,Bhaktapur,Dadikot,20,
5,4,3.0,4,South,,5133.75,48,52500000,Kathmandu,Sukedhara,13,Gravelled
4,0,2.0,2,East,2077.0,2395.75,1,75000000,Kathmandu,Budhanilkantha,20,Paved
5,6,2.0,3,North East,,2395.75,12,64000000,Kathmandu,Dhapasi,16,
5,0,3.0,0,South,,1369.0,48,34000000,Kathmandu,Baluwatar,15,Blacktopped
3,3,3.0,0,East,,11978.75,48,26000000,Kathmandu,Basundhara,12,
4,5,3.0,0,South,,3422.5,48,70000000,Kathmandu,Banasthali,12,
5,4,3.0,0,South,,1711.25,48,32000000,Kathmandu,Hattigauda,15,Gravelled
10,0,3.0,0,South,,1369.0,48,23000000,Kathmandu,Swayambhu,12,Blacktopped
5,3,2.5,0,South West,,1369.0,48,29000000,Kathmandu,Golfutar,15,Blacktopped
6,5,3.0,3,South East,2074.0,2738.0,48,43000000,Kathmandu,Tokha,12,Gravelled
7,5,3.0,8,East,2059.0,5133.75,48,70000000,Kathmandu,Maharajgunj,12,Blacktopped
7,6,3.0,2,South,2075.0,1711.25,36,35000000,Kathmandu,Pasikot,12,Gravelled
5,4,3.0,4,South West,,1369.0,48,37000000,Kathmandu,Chabahil,12,
9,4,5.0,0,East,,1026.75,48,39000000,Kathmandu,Jorpati,36,
8,0,3.0,0,North,,1026.75,48,15500000,Lalitpur,Harisiddhi,20,Gravelled
2,1,1.0,1,South,,1026.75,48,10600000,Kathmandu,Kapan,10,
2,4,3.0,3,South,,1711.25,48,28000000,Kathmandu,Basbari,13,Gravelled
3,1,1.0,1,North East,2074.0,1026.75,48,12500000,Kathmandu,Kadaghari,13,Gravelled
6,4,3.0,2,East,2076.0,1026.75,48,18000000,Kathmandu,Golfutar,13,Gravelled
6,3,2.0,2,North,2072.0,1026.75,48,21000000,Kathmandu,Sukedhara,14,Blacktopped
2,2,2.0,1,West,2057.0,8556.25,1,15000000,Kathmandu,Samakhusi,4,Paved
11,0,3.0,0,East,,1711.25,48,33000000,Kathmandu,Sukedhara,15,
10,0,4.0,0,East,,11978.75,48,19500000,Bhaktapur,Kausaltar,20,Soil Stabilized
4,4,2.0,3,South,,3422.5,48,39000000,Kathmandu,Budhanilkantha,13,
6,3,3.0,4,South East,,2053.5,48,34000000,Kathmandu,Budhanilkantha,13,
6,3,3.0,0,North East,,2053.5,48,51500000,Kathmandu,Baluwatar,12,
5,3,3.0,0,South,,11978.75,48,16500000,Lalitpur,Imadol,13,Blacktopped
9,3,3.0,0,South West,,1026.75,48,16500000,Kathmandu,Jorpati,10,Gravelled
5,5,2.5,2,South,2079.0,196793.75,12,49500000,Kathmandu,Budhanilkantha,15,Blacktopped
11,0,2.0,0,West,,1711.25,48,22000000,Kathmandu,Kadaghari,15,Gravelled
7,0,3.0,2,East,2076.0,15401.25,48,27500000,Kathmandu,Ekatabasti,13,Blacktopped
2,1,2.0,0,West,,1026.75,48,6500000,Lalitpur,Imadol,5,Gravelled
3,2,2.0,0,South West,,10609.75,48,19000000,Kathmandu,Sukedhara,24,Blacktopped
4,3,2.0,0,South,,10609.75,48,23000000,Kathmandu,Basundhara,15,Gravelled
6,6,3.0,2,South West,,2738.0,48,45000000,Kathmandu,Basundhara,15,Blacktopped
2,1,1.0,4,East,2074.0,11978.75,48,14200000,Lalitpur,Imadol,20,Gravelled
10,0,3.0,0,South,,14374.5,48,34500000,Kathmandu,Samakhusi,20,
6,4,3.0,3,West,,25668.75,48,53000000,Kathmandu,Tokha,15,Blacktopped
6,3,3.0,1,North East,2075.0,10952.0,48,19000000,Kathmandu,Kavresthali,0,
5,2,3.0,0,South,,1711.25,48,39000000,Kathmandu,Basundhara,14,
5,4,3.0,3,East,,1369.0,48,19200000,Kathmandu,Budhanilkantha,13,
4,0,3.0,0,West,,15401.25,48,26500000,Kathmandu,Bafal,13,Gravelled
7,4,3.0,0,South West,,11294.25,48,22500000,Lalitpur,Imadol,13,
16,3,3.0,0,North,,2053.5,48,27000000,Bhaktapur,Lokanthali,13,Blacktopped
5,5,3.0,4,East,,3080.25,48,45000000,Kathmandu,Sitapaila,12,
6,4,3.0,2,East,,15401.25,48,25500000,Kathmandu,Budhanilkantha,13,Blacktopped
4,3,3.0,0,East,,107124.25,48,22500000,Kathmandu,Mandikatar,12,
7,4,3.0,0,East,,20877.25,48,38000000,Kathmandu,Kalanki,14,
2,1,1.0,1,South West,2068.0,10952.0,48,10500000,Kathmandu,Makalbari,12,Gravelled
4,3,3.0,0,East,,10609.75,48,17000000,Kathmandu,Dhapasi,13,Blacktopped
7,6,5.0,4,South East,,10609.75,48,16000000,Kathmandu,Mulpani,14,Gravelled
4,3,3.0,0,East,,1369.0,48,25000000,Kathmandu,Bhangal,13,
2,2,1.0,1,North East,,1026.75,48,10000000,Lalitpur,Imadol,13,Blacktopped
3,4,2.0,1,East,2078.0,1369.0,2,27000000,Kathmandu,Kirtipur,20,Blacktopped
7,0,3.0,4,South,,1369.0,48,24000000,Kathmandu,Kapan,16,Soil Stabilized
11,0,3.0,4,South,,1369.0,48,20400000,Kathmandu,Kapan,20,Blacktopped
2,3,3.0,0,North,,1711.25,48,37500000,Kathmandu,Basundhara,14,Blacktopped
5,4,3.0,0,North West,,1026.75,48,18000000,Lalitpur,Imadol,11,Gravelled
5,4,2.5,0,South,,2053.5,48,40000000,Kathmandu,Sukedhara,15,Gravelled
6,4,4.0,0,South,,1369.0,48,27500000,Kathmandu,Sukedhara,12,
3,1,1.0,0,West,,8556.25,48,6500000,Kathmandu,Goldhunga,10,Soil Stabilized
4,4,3.0,1,South,2069.0,14716.75,48,31500000,Lalitpur,Bhaisepati,12,Paved
6,4,3.0,4,South East,,2053.5,48,40000000,Kathmandu,Chandol,14,
4,5,2.5,1,South,2078.0,1369.0,2,42500000,Kathmandu,Budhanilkantha,16,Concrete
13,0,4.5,0,South East,,4449.25,48,70000000,Kathmandu,Maharajgunj,14,Gravelled
11,5,3.0,0,East,,1369.0,48,26500000,Kathmandu,Kapan,13,Blacktopped
2,1,1.0,0,North,,1026.75,48,11500000,Kathmandu,Tokha,13,Gravelled
6,4,3.0,3,West,,15401.25,48,25000000,Kathmandu,Budhanilkantha,13,Soil Stabilized
2,2,1.0,1,South West,2076.0,10609.75,48,14000000,Kathmandu,Mandikatar,13,Gravelled
4,0,3.0,3,East,2079.0,1026.75,1,29000000,Kathmandu,Kadaghari,12,Paved
11,0,4.0,2,North,2058.0,1711.25,48,30000000,Kathmandu,Samakhusi,13,Blacktopped
4,4,3.0,1,West,,1026.75,1,24000000,Lalitpur,Imadol,0,
4,0,3.0,2,North East,2080.0,1369.0,1,35000000,Lalitpur,Bhaisepati,15,Gravelled
10,10,4.0,2,East,2078.0,291597.0,5,120000000,Kathmandu,Dallu,13,Blacktopped
