Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
0,0,,0,West,,1026.75,24,12000000,Bhaktapur,Duwakot,6,
0,4,3.0,1,West,2081.0,1133.7,1,32500000,Lalitpur,Imadol,13,Gravelled
0,0,,0,East,,1369.0,24,40000000,Bhaktapur,Gatthaghar,15,
0,0,5.0,0,South,2075.0,2224.62,48,75000000,Bhaktapur,Gatthaghar,20,Blacktopped
0,0,,0,West,,1711.25,24,24000000,Bhaktapur,Duwakot,13,
0,0,,0,East,,1369.0,24,21500000,Bhaktapur,Balkot,13,
0,0,4.0,0,South West,,1903.76,4,60000000,Kathmandu,Kalanki,20,Blacktopped
0,0,,0,West,,1369.0,24,22500000,Bhaktapur,Suryabinayak,0,
0,0,,0,West,,1369.0,36,17000000,Bhaktapur,Bhaktapur,13,Gravelled
0,0,,0,East,,1026.75,24,12000000,Bhaktapur,Bhaktapur,0,
0,0,,0,East,,1026.75,24,11500000,Bhaktapur,Duwakot,0,
0,0,,0,West,,2738.0,36,28500000,Bhaktapur,Sirutar,13,
0,0,,0,West,2064.0,855.62,24,15000000,Bhaktapur,Sallaghari,9,
0,0,,0,East,,1197.87,24,14500000,Bhaktapur,Sirutar,12,
0,13,5.0,12,South East,2073.0,3764.75,60,110000000,Kathmandu,Pepsicola,23,
0,0,1.0,0,East,,941.18,36,11800000,Bhaktapur,Sipadol,13,Gravelled
0,0,,0,East,,1369.0,24,11000000,Bhaktapur,Bhaktapur,10,
0,0,,0,West,,1155.09,36,15000000,Bhaktapur,Duwakot,12,
0,0,,0,East,,2738.0,36,28500000,Bhaktapur,Sirutar,13,
0,0,,0,West,,1026.75,36,11000000,Bhaktapur,Suryabinayak,20,Gravelled
0,0,,0,East,,1369.0,36,2600000,Bhaktapur,Changunarayan,20,Gravelled
0,0,,0,West,,1112.31,36,13000000,Bhaktapur,Suryabinayak,13,Gravelled
0,0,,0,East,,1540.12,24,10000000,Bhaktapur,Suryabinayak,0,
0,0,,0,East,,1026.75,24,11500000,Bhaktapur,Duwakot,12,
0,0,,0,West,,2053.5,36,11000000,Bhaktapur,Bhaktapur,18,Gravelled
0,0,,0,West,,1026.75,36,14000000,Bhaktapur,Kharipati,20,Gravelled
0,0,,0,West,,1197.87,36,17500000,Bhaktapur,Suryabinayak,13,
0,0,,0,South,,983.96,36,12200000,Bhaktapur,Suryabinayak,0,
0,0,,0,South,,941.18,36,12200000,Bhaktapur,Suryabinayak,0,
0,0,2.5,0,East,,1026.75,36,15000000,Bhaktapur,Duwakot,13,Blacktopped
0,0,,0,East,,1026.75,36,17000000,Bhaktapur,Balkot,13,
0,0,,0,East,,1369.0,24,11500000,Bhaktapur,Sudal,10,
0,0,,0,West,,1711.25,24,28000000,Bhaktapur,Lokanthali,12,
0,0,,0,West,,1197.87,24,7500000,Bhaktapur,Bhaktapur,20,
0,0,2.0,0,North,2072.0,1197.87,48,15500000,Kathmandu,Gothatar,13,Blacktopped
0,0,,0,West,,1197.87,24,9200000,Bhaktapur,Sudal,12,
0,5,3.0,1,South West,2079.0,1454.56,1,33000000,Lalitpur,Imadol,10,Gravelled
0,0,2.5,0,East,,1026.75,36,23000000,Bhaktapur,Sallaghari,20,Blacktopped
0,0,,0,North East,,2053.5,36,5550000,Bhaktapur,Nagarkot,0,
0,0,,0,East,,1197.87,36,18500000,Bhaktapur,Lokanthali,13,
0,0,,0,North,,1561.51,36,39900000,Bhaktapur,Kamalbinayak,13,Blacktopped
0,0,,0,South,,1026.75,24,8000000,Bhaktapur,Duwakot,13,
0,0,,0,East,,1026.75,24,1800000,Bhaktapur,Bhaktapur,0,
0,0,,0,West,,1369.0,24,21500000,Bhaktapur,Balkot,13,
0,0,,0,East,,1369.0,36,14500000,Bhaktapur,Bhaktapur,10,
0,0,,0,West,,941.18,24,16500000,Bhaktapur,Suryabinayak,16,
0,0,,0,North West,,1540.12,24,19000000,Bhaktapur,Bhaktapur,0,
0,0,,0,South,,855.62,48,15000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,East,,898.4,48,8500000,Bhaktapur,Madhyapur Thimi,26,Soil Stabilized
0,0,3.5,0,North,2065.0,2224.62,48,150000000,Kathmandu,Naxal,20,
0,0,,0,North,,1454.55,48,19500000,Kathmandu,Basundhara,13,Blacktopped
0,0,,0,South,,2310.18,48,36000000,Kathmandu,Gothatar,20,Gravelled
0,0,,0,North,,1283.43,48,24000000,Kathmandu,Sukedhara,13,Soil Stabilized
0,0,,0,East,,1112.31,48,23500000,Kathmandu,Basundhara,15,Blacktopped
0,0,,0,South,,598.9300000000001,48,25000000,Kathmandu,Kalimati,9,Blacktopped
0,0,,0,East,,1026.75,48,18200000,Kathmandu,Kapan,13,Blacktopped
0,0,,0,East,,1197.87,48,22000000,Bhaktapur,Radhe Radhe,20,Blacktopped
0,0,3.0,2,North,2073.0,1796.81,48,33000000,Lalitpur,Nakkhu,13,Soil Stabilized
0,0,,0,East,,1283.43,24,15700000,Kathmandu,Mandikatar,13,
0,0,,0,North,,1197.87,48,13000000,Kathmandu,Goldhunga,13,Gravelled
0,0,,0,South,,1026.75,48,7500000,Bhaktapur,Duwakot,13,Gravelled
0,0,3.5,0,North,2070.0,1540.12,48,25500000,Kathmandu,Bafal,13,Blacktopped
0,0,,0,North,,1540.12,48,37500000,Kathmandu,Tinkune,22,Blacktopped
0,0,,0,South,,1796.8,48,26000000,Lalitpur,Dhapakhel,12,Blacktopped
0,0,,0,West,,1454.55,48,12000000,Kathmandu,Balaju,26,Blacktopped
0,0,,0,South,,4791.5,24,105000000,Kathmandu,Kalanki,22,Blacktopped
0,0,,0,South,,3721.96,48,80000000,Kathmandu,Gaushala,12,Blacktopped
0,0,3.0,0,West,,1219.26,48,21000000,Kathmandu,Chandragiri,15,
0,0,3.0,0,West,,1369.0,24,28500000,Kathmandu,Raniban,18,
0,0,3.0,0,West,,5347.65,48,88000000,Kathmandu,Sukedhara,20,
0,0,2.0,0,South,,2224.62,36,35000000,Lalitpur,Thasikhel,13,Blacktopped
0,0,,0,West,,1283.43,48,29000000,Kathmandu,Kalopul,10,Blacktopped
0,0,,0,West,,1882.37,48,29800000,Kathmandu,Basundhara,15,Blacktopped
0,0,,0,North,,1454.55,48,35000000,Kathmandu,Mid Baneshwor,13,Blacktopped
0,0,2.0,0,South East,2076.0,1048.14,48,16500000,Kathmandu,Syuchatar,14,Blacktopped
0,0,3.0,0,North East,2076.0,1775.42,48,29000000,Kathmandu,Budhanilkantha,20,Gravelled
0,0,,0,East,,2738.0,48,38000000,Kathmandu,Balaju,13,Blacktopped
0,0,,0,East,,1197.87,48,11500000,Kathmandu,Thankot,13,Blacktopped
0,0,2.0,0,West,,1240.65,48,22500000,Kathmandu,Banasthali,13,Gravelled
0,0,3.5,0,East,2075.0,2117.67,24,80000000,Kathmandu,Buddhanagar,14,Blacktopped
0,0,2.5,1,North,2076.0,1711.25,48,40000000,Kathmandu,Sanobharyang,13,Blacktopped
0,0,0.0,1,North,,1026.75,48,16000000,Lalitpur,Tikathali,13,Gravelled
0,0,,0,North,,1090.92,48,11500000,Bhaktapur,Dadikot,12,Gravelled
0,0,,0,East,,1026.75,48,17000000,Kathmandu,Tarkeshwor,10,Gravelled
0,0,,0,South,,1540.12,48,49000000,Kathmandu,Thapagaun,12,Blacktopped
0,0,,0,East,,941.18,48,9500000,Kathmandu,Naikap,10,Blacktopped
0,0,,0,East,,941.18,48,19000000,Kathmandu,Dhumbarahi,10,Blacktopped
0,0,,0,South,,1967.93,48,28000000,Lalitpur,Harisiddhi,20,
0,0,,1,South East,,855.62,48,13500000,Kathmandu,Dharmasthali,12,Blacktopped
0,0,,0,North East,,1112.31,48,21500000,Kathmandu,Kapan,16,Blacktopped
0,0,3.0,0,South East,,1882.37,48,25000000,Lalitpur,Bhaisepati,12,Gravelled
0,0,,0,West,,1796.8,48,14000000,Bhaktapur,Bhaktapur,13,Gravelled
0,0,,0,North,,1197.87,48,18500000,Kathmandu,Kapan,13,Gravelled
0,0,3.5,2,East,,1197.87,24,45000000,Kathmandu,Shantinagar,14,Blacktopped
0,0,,0,East,,1283.43,48,29500000,Kathmandu,Kalimati,0,
0,0,,0,North,,1454.55,48,11500000,Kathmandu,Kadaghari,12,Gravelled
0,0,3.0,3,South,,1540.12,48,33000000,Kathmandu,Baneshwor,8,Gravelled
0,3,3.0,1,East,,1369.0,48,21000000,Lalitpur,Imadol,12,
0,0,3.0,2,South West,2080.0,1796.81,1,55000000,Lalitpur,Imadol,16,Paved
0,0,2.0,2,South West,,1882.37,1,48000000,Lalitpur,Imadol,20,
0,0,2.0,2,South East,2080.0,1475.95,1,42500000,Lalitpur,Dholahiti,16,Gravelled
0,0,3.0,2,South,2080.0,1155.09,1,35500000,Lalitpur,Imadol,20,Gravelled
0,3,2.0,2,East,,1283.43,1,26000000,Lalitpur,Tikathali,11,
0,0,2.0,1,West,2078.0,2310.18,2,45000000,Lalitpur,Harisiddhi,13,Gravelled
0,3,2.0,1,West,2077.0,1112.31,1,20000000,Lalitpur,Lubhu,13,Gravelled
0,4,3.0,2,South,2080.0,1112.31,1,30500000,Lalitpur,Imadol,13,Paved
0,2,3.0,1,North,,1197.87,2,33500000,Lalitpur,Imadol,13,
0,4,3.0,1,North East,,1283.43,1,28500000,Lalitpur,Harisiddhi,13,
0,4,2.0,1,West,2080.0,1112.31,1,31000000,Lalitpur,Imadol,13,Gravelled
0,0,3.0,3,South,,1796.81,1,55000000,Lalitpur,Imadol,13,Paved
0,0,3.0,2,South East,,1240.65,2,31000000,Lalitpur,Imadol,13,
0,0,3.0,2,South,2080.0,1390.39,1,39500000,Lalitpur,Imadol,13,Gravelled
0,0,2.0,2,North,2080.0,1155.09,1,29900000,Lalitpur,Imadol,0,
0,2,,0,East,,855.62,48,13500000,Kathmandu,Bafal,12,
0,3,2.0,1,North East,2072.0,1283.43,1,29000000,Kathmandu,Kapan,13,Gravelled
0,4,3.0,2,South,2080.0,1026.75,1,28000000,Lalitpur,Imadol,13,Gravelled
0,2,2.5,1,North West,2079.0,1026.75,3,34000000,Kathmandu,Thulo Bharyang,13,Paved
0,0,,0,North,,2053.5,36,20000000,Bhaktapur,Suryabinayak,20,Paved
0,0,,0,West,,1369.0,6,35000000,Kathmandu,Balambu,14,
0,3,3.0,2,South,2071.0,1369.0,1,22000000,Lalitpur,Imadol,13,Gravelled
0,3,,1,East,,1711.25,2,31000000,Lalitpur,Bhaisepati,13,Blacktopped
0,4,,2,North,2077.0,1369.0,4,45000000,Kathmandu,Budhanilkantha,0,Blacktopped
0,0,3.0,1,North,,1369.0,2,33000000,Lalitpur,Tikathali,10,Gravelled
0,0,3.0,0,South,,2053.5,48,37500000,Kathmandu,Hattigauda,20,
0,0,4.0,0,North,,2395.75,48,55000000,Kathmandu,Naxal,20,
0,0,,0,West,,1711.25,48,10000000,Lalitpur,Lamatar,12,Soil Stabilized
0,0,2.0,0,West,2075.0,5133.75,36,9500000,Kathmandu,Kirtipur,12,Gravelled
0,0,,0,South,,1369.0,48,10500000,Bhaktapur,Changunarayan,10,Blacktopped
0,0,4.0,0,East,,3080.25,36,57500000,Kathmandu,Chabahil,0,
0,0,3.0,0,West,,1711.25,48,52500000,Kathmandu,Baneshwor,0,
0,0,3.0,0,West,,1369.0,48,17500000,Kathmandu,Pasikot,16,
0,0,,0,West,,2738.0,48,25000000,Lalitpur,Lamatar,14,Gravelled
0,0,3.0,0,South,,2738.0,48,51000000,Kathmandu,Mandikatar,15,Blacktopped
0,0,2.0,0,East,,1026.75,48,12500000,Lalitpur,Harisiddhi,13,Gravelled
0,0,3.0,0,West,,8556.25,36,11000000,Kathmandu,Kapan,12,
0,0,3.0,3,East,,3080.25,48,60000000,Kathmandu,Tokha,13,
0,0,,0,East,,3080.25,48,49500000,Lalitpur,Hattiban,16,Blacktopped
0,0,3.0,0,East,,11978.75,48,26500000,Kathmandu,Basundhara,12,
0,0,,0,South,,2053.5,48,32000000,Kathmandu,Baneshwor,12,Blacktopped
0,0,,0,South,,1369.0,48,20000000,Kathmandu,Jorpati,15,
0,0,3.0,0,South,,1369.0,48,24000000,Kathmandu,Jorpati,15,Blacktopped
0,0,4.0,0,South,,17454.75,48,60000000,Kathmandu,Balkhu,0,
0,0,2.5,0,North,,1369.0,48,42000000,Kathmandu,Sukedhara,20,Blacktopped
0,0,3.0,0,South,,1369.0,48,20500000,Lalitpur,Nakhipot,10,Gravelled
0,4,2.0,2,North,2080.0,1711.25,1,47500000,Kathmandu,Budhanilkantha,0,Blacktopped
0,0,4.0,0,West,,1026.75,48,25000000,Kathmandu,Hadigaun,13,
0,0,1.0,0,East,,11294.25,48,11500000,Lalitpur,Harisiddhi,13,
0,0,3.0,0,West,,14032.25,48,26000000,Kathmandu,Tokha,15,Blacktopped
0,0,,0,South East,,684.5,48,15000000,Kathmandu,Chandol,20,
0,0,3.0,0,East,,28406.75,48,66000000,Kathmandu,Budhanilkantha,40,Blacktopped
0,0,3.0,1,East,,8556.25,48,14000000,Kathmandu,Jorpati,10,
0,0,,0,West,,1026.75,48,14500000,Lalitpur,Sano Gaun,13,Gravelled
0,0,3.5,0,West,,2395.75,48,21500000,Bhaktapur,Changunarayan,15,Gravelled
0,0,,0,West,,1026.75,48,7000000,Kathmandu,Kavresthali,10,Soil Stabilized
0,0,2.0,3,East,2080.0,1711.25,1,47500000,Kathmandu,Budhanilkantha,13,Blacktopped
0,0,,0,South,,3080.25,48,49500000,Kathmandu,Budhanilkantha,15,Blacktopped
0,0,3.0,0,South East,,2053.5,48,30000000,Kathmandu,Lazimpat,10,
0,0,,0,North,,1369.0,48,22500000,Kathmandu,Kadaghari,16,Blacktopped
0,0,3.0,0,East,,2053.5,48,30000000,Kathmandu,Basundhara,12,
0,0,4.0,0,East,,2395.75,48,33000000,Kathmandu,Boudha,20,
0,0,,0,South,,2738.0,48,45000000,Kathmandu,Budhanilkantha,15,Soil Stabilized
0,0,,0,South,,1026.75,48,17500000,Lalitpur,Imadol,13,
0,0,,0,South,,6845.0,48,40000000,Kathmandu,Syuchatar,16,Blacktopped
0,0,,0,South,,1369.0,48,28000000,Kathmandu,Budhanilkantha,15,Gravelled
0,4,3.0,2,West,2079.0,3080.25,1,65000000,Kathmandu,Kapan,13,Gravelled
0,0,4.0,0,South West,,1711.25,48,25500000,Bhaktapur,Lokanthali,10,
0,0,,0,West,,1026.75,48,15000000,Kathmandu,Kapan,13,Blacktopped
0,0,3.0,0,West,,18823.75,48,25000000,Kathmandu,Manamaiju,13,
0,0,3.0,0,West,,131766.25,48,43500000,Kathmandu,Hattisar,20,
0,0,3.0,0,South,2074.0,8556.25,36,21000000,Kathmandu,Grande Villa,16,Gravelled
0,0,,0,West,,1026.75,48,11000000,Kathmandu,Thali,10,Soil Stabilized
0,3,3.0,2,East,2075.0,14032.25,48,23500000,Kathmandu,Budhanilkantha,13,Blacktopped
0,0,,0,South,,342.25,48,4000000,Kathmandu,Kirtipur,10,Blacktopped
0,0,,0,South,,1026.75,48,15000000,Kathmandu,Kirtipur,10,Blacktopped
0,0,,0,South East,,1369.0,48,24500000,Kathmandu,Bhangal,14,
0,0,2.0,0,East,2070.0,1369.0,48,46500000,Lalitpur,Thasikhel,21,Blacktopped
0,0,,0,South,,1369.0,48,22000000,Kathmandu,Balaju,22,Gravelled
0,0,,0,East,2073.0,1026.75,48,15000000,Kathmandu,Kapan,10,Blacktopped
0,0,,0,North,,1369.0,48,27500000,Kathmandu,Sukedhara,13,Gravelled
0,0,3.0,0,South,,1026.75,48,18000000,Kathmandu,Hattigauda,13,
0,0,,0,West,,1711.25,48,20500000,Kathmandu,Sitapaila,20,Blacktopped
0,0,,0,North,,2738.0,48,38000000,Kathmandu,Chabahil,14,Blacktopped
0,4,3.0,2,South East,2069.0,14032.25,1,38000000,Kathmandu,Boudha,13,Gravelled
0,3,2.0,4,East,2080.0,1711.25,1,47500000,Kathmandu,Budhanilkantha,13,Gravelled
0,3,3.0,4,East,2080.0,14032.25,1,42500000,Kathmandu,Budhanilkantha,20,Blacktopped
0,4,3.0,2,South,2080.0,1369.0,1,33500000,Lalitpur,Imadol,13,Gravelled
0,4,2.0,2,South East,2080.0,1369.0,1,31500000,Lalitpur,Satdobato,0,
0,4,3.0,2,North,2079.0,1026.75,1,30000000,Lalitpur,Imadol,20,Gravelled
0,0,3.0,1,West,2080.0,1711.25,1,47000000,Lalitpur,Imadol,0,
0,4,2.0,1,South,2080.0,1369.0,2,42500000,Lalitpur,Hattiban,13,
0,0,3.0,1,North East,2079.0,1369.0,2,31000000,Lalitpur,Dhapakhel,20,Paved
0,4,2.0,2,East,2080.0,1026.75,1,16500000,Lalitpur,Lubhu,18,Gravelled
0,0,,0,North,,3422.5,48,25000000,Kathmandu,Goldhunga,15,
0,0,3.0,0,East,,2738.0,48,55000000,Kathmandu,Samakhusi,13,
